NUMERO_CUENTA,MES,ANIO,IMPORTE
7590001,2,2025,-12937
7590001,2,2025,-1000
7590001,2,2025,-1000
7590001,2,2025,-7500
7590001,2,2025,-7500
7590001,2,2025,-4000
7590001,2,2025,-4000
7590001,2,2025,6900
7590001,2,2025,7500
7590001,2,2025,4000
7590001,2,2025,1000
7520001,2,2025,-204
7520001,2,2025,-3778
7520001,2,2025,-4000
7520001,2,2025,-600
7520001,2,2025,-7200
7520001,2,2025,-6000
7520001,2,2025,-3598
7520001,2,2025,-2005
7520001,2,2025,-7196
7520001,2,2025,-1851
7520001,2,2025,-3084
7520001,2,2025,-3393
7520001,2,2025,-977
7520001,2,2025,-2570
7520001,2,2025,-926
7080001,2,2025,59
7080001,2,2025,46399
7050008,2,2025,-5182
7050007,2,2025,-2300
7050007,2,2025,-700
7050007,2,2025,-27
7050007,2,2025,-329
7050007,2,2025,-815
7050007,2,2025,-677
7050007,2,2025,-44
7050007,2,2025,-11
7050007,2,2025,-41
7050007,2,2025,-114
7050007,2,2025,-24
7050007,2,2025,-3354
7050007,2,2025,-1464
7050007,2,2025,-88
7050007,2,2025,-37
7050007,2,2025,-201
7050007,2,2025,-178
7050007,2,2025,-67
7050007,2,2025,-24
7050007,2,2025,-1957
7050007,2,2025,-31
7050007,2,2025,-761
7050007,2,2025,-94
7050007,2,2025,-7
7050007,2,2025,-784
7050007,2,2025,-7
7050007,2,2025,-478
7050007,2,2025,-832
7050007,2,2025,-2998
7050007,2,2025,-286
7050007,2,2025,-1020
7050007,2,2025,-2023
7050007,2,2025,-365
7050007,2,2025,-169
7050007,2,2025,-27
7050007,2,2025,-524
7050007,2,2025,-129
7050007,2,2025,-8
7050007,2,2025,-3
7050007,2,2025,-31
7050007,2,2025,-34
7050007,2,2025,-395
7050007,2,2025,-4
7050007,2,2025,-286
7050007,2,2025,-192
7050007,2,2025,-31
7050007,2,2025,-1417
7050007,2,2025,-285
7050007,2,2025,-342
7050007,2,2025,-242
7050007,2,2025,-58
7050007,2,2025,-400
7050007,2,2025,-360
7050007,2,2025,-208
7050007,2,2025,-956
7050007,2,2025,-1357
7050007,2,2025,-251
7050007,2,2025,-110
7050007,2,2025,-73
7050007,2,2025,-79
7050007,2,2025,-538
7050007,2,2025,-235
7050007,2,2025,-258
7050007,2,2025,-282
7050007,2,2025,-154
7050007,2,2025,-114
7050007,2,2025,-175
7050007,2,2025,-205
7050007,2,2025,-135
7050007,2,2025,-403
7050007,2,2025,-2503
7050007,2,2025,-18
7050007,2,2025,-156
7050007,2,2025,-6
7050007,2,2025,-4
7050007,2,2025,-1395
7050007,2,2025,-113
7050007,2,2025,-1
7050007,2,2025,-274
7050007,2,2025,-186
7050007,2,2025,-89
7050007,2,2025,-42
7050007,2,2025,-779
7050007,2,2025,-435
7050007,2,2025,-176
7050007,2,2025,-75
7050007,2,2025,-561
7050007,2,2025,-95
7050007,2,2025,-2
7050007,2,2025,-4
7050007,2,2025,-12
7050007,2,2025,-32
7050007,2,2025,-23
7050007,2,2025,-401
7050007,2,2025,-4
7050007,2,2025,-358
7050007,2,2025,-210
7050007,2,2025,-84
7050007,2,2025,-1492
7050007,2,2025,-325
7050007,2,2025,-493
7050007,2,2025,-222
7050007,2,2025,-51
7050007,2,2025,-440
7050007,2,2025,-386
7050007,2,2025,-196
7050007,2,2025,-1041
7050007,2,2025,-1728
7050007,2,2025,-236
7050007,2,2025,-139
7050007,2,2025,-62
7050007,2,2025,-78
7050007,2,2025,-558
7050007,2,2025,-365
7050007,2,2025,-290
7050007,2,2025,-370
7050007,2,2025,-60
7050007,2,2025,-121
7050007,2,2025,-168
7050007,2,2025,-161
7050007,2,2025,-142
7050007,2,2025,-176
7050007,2,2025,-2085
7050007,2,2025,-10
7050007,2,2025,-128
7050007,2,2025,-2
7050007,2,2025,-3
7050007,2,2025,-8
7050007,2,2025,-975
7050007,2,2025,-66
7050007,2,2025,-174
7050007,2,2025,-239
7050007,2,2025,-120
7050007,2,2025,-41
7050007,2,2025,-780
7050007,2,2025,-85
7050007,2,2025,-127
7050007,2,2025,-93
7050007,2,2025,-348
7050007,2,2025,-255
7050007,2,2025,-11
7050007,2,2025,-122
7050007,2,2025,-54
7050007,2,2025,-649
7050007,2,2025,-159
7050007,2,2025,-202
7050007,2,2025,-426
7050007,2,2025,-275
7050007,2,2025,-15
7050007,2,2025,-342
7050007,2,2025,-362
7050007,2,2025,-20
7050007,2,2025,-466
7050007,2,2025,-3901
7050007,2,2025,-20128
7050007,2,2025,-4570
7050007,2,2025,-4288
7050007,2,2025,-3224
7050007,2,2025,-1889
7050007,2,2025,-5401
7050007,2,2025,-1613
7050007,2,2025,-4173
7050007,2,2025,-2575
7050007,2,2025,-658
7050007,2,2025,-4559
7050007,2,2025,-4923
7050007,2,2025,-2239
7050007,2,2025,-9813
7050007,2,2025,-24919
7050007,2,2025,-1834
7050007,2,2025,-2155
7050007,2,2025,-1850
7050007,2,2025,-15871
7050007,2,2025,-69902
7050007,2,2025,-548
7050007,2,2025,-123
7050007,2,2025,-1908
7050007,2,2025,-426
7050007,2,2025,-1963
7050007,2,2025,-1102
7050007,2,2025,-148
7050007,2,2025,-52
7050007,2,2025,-755
7050007,2,2025,-615
7050007,2,2025,-4040
7050007,2,2025,-4698
7050007,2,2025,-34
7050007,2,2025,-2785
7050007,2,2025,-3285
7050007,2,2025,-4134
7050007,2,2025,-11333
7050007,2,2025,-420
7050007,2,2025,-11426
7050007,2,2025,-12518
7050007,2,2025,-2551
7050007,2,2025,-9350
7050007,2,2025,-20718
7050007,2,2025,-31
7050007,2,2025,-41293
7050007,2,2025,-3536
7050007,2,2025,-15124
7050007,2,2025,-1341
7050007,2,2025,-908
7050007,2,2025,-2410
7050007,2,2025,-1280
7050007,2,2025,-670
7050007,2,2025,-1760
7050007,2,2025,-4785
7050007,2,2025,-2254
7050007,2,2025,-2478
7050007,2,2025,-2240
7050007,2,2025,-1450
7050007,2,2025,-2480
7050007,2,2025,-3410
7050007,2,2025,-1780
7050007,2,2025,-5447
7050007,2,2025,-3895
7050007,2,2025,-2742
7050007,2,2025,-659
7050007,2,2025,-1124
7050007,2,2025,-2060
7050007,2,2025,-977
7050007,2,2025,-1601
7050007,2,2025,-1661
7050007,2,2025,-3841
7050007,2,2025,-230
7050007,2,2025,-1224
7050007,2,2025,-5120
7050007,2,2025,-408
7050007,2,2025,-6840
7050007,2,2025,-7129
7050007,2,2025,-960
7050007,2,2025,-14
7050007,2,2025,-900
7050007,2,2025,-160
7050007,2,2025,-900
7050007,2,2025,-1450
7050007,2,2025,-727
7050007,2,2025,-1030
7050007,2,2025,-1330
7050007,2,2025,-15900
7050007,2,2025,-2061
7050007,2,2025,-735
7050007,2,2025,-713
7050007,2,2025,-4172
7050007,2,2025,6325
7050007,2,2025,1420
7050007,2,2025,1227
7050007,2,2025,935
7050007,2,2025,854
7050007,2,2025,674
7050007,2,2025,593
7050007,2,2025,573
7050007,2,2025,302
7050007,2,2025,294
7050007,2,2025,182
7050007,2,2025,161
7050007,2,2025,78
7050007,2,2025,78
7050007,2,2025,38
7050007,2,2025,17
7050007,2,2025,11
7050007,2,2025,996
7050007,2,2025,385
7050007,2,2025,173
7050007,2,2025,638
7050007,2,2025,441
7050007,2,2025,246
7050007,2,2025,145
7050007,2,2025,-59
7050007,2,2025,170
7050007,2,2025,4182
7050007,2,2025,1000
7050007,2,2025,1581
7050007,2,2025,1152
7050007,2,2025,41
7050007,2,2025,399
7050007,2,2025,1005
7050007,2,2025,1106
7050007,2,2025,201
7050007,2,2025,101
7050007,2,2025,212
7050007,2,2025,255
7050007,2,2025,21
7050007,2,2025,7
7050007,2,2025,3136
7050007,2,2025,2962
7050007,2,2025,118
7050007,2,2025,34
7050007,2,2025,7
7050007,2,2025,201
7050007,2,2025,248
7050007,2,2025,292
7050007,2,2025,31
7050007,2,2025,24
7050007,2,2025,54
7050007,2,2025,4
7050007,2,2025,14
7050007,2,2025,2299
7050007,2,2025,369
7050007,2,2025,71
7050007,2,2025,91
7050007,2,2025,4
7050007,2,2025,14
7050007,2,2025,1002
7050007,2,2025,21
7050007,2,2025,7
7050007,2,2025,203
7050007,2,2025,14
7050007,2,2025,264
7050007,2,2025,154
7050007,2,2025,320
7050007,2,2025,385
7050007,2,2025,60
7050007,2,2025,47
7050007,2,2025,11
7050007,2,2025,9
7050007,2,2025,1319
7050007,2,2025,1101
7050007,2,2025,565
7050007,2,2025,7
7050007,2,2025,31
7050007,2,2025,20
7050007,2,2025,107
7050007,2,2025,51
7050007,2,2025,49
7050007,2,2025,36
7050007,2,2025,27
7050007,2,2025,312
7050007,2,2025,613
7050007,2,2025,106
7050007,2,2025,2015
7050007,2,2025,389
7050007,2,2025,9
7050007,2,2025,1105
7050007,2,2025,638
7050007,2,2025,11
7050007,2,2025,450
7050007,2,2025,1300
7050007,2,2025,3100
7050007,2,2025,1312
7050007,2,2025,27
7050007,2,2025,52
7050007,2,2025,296
7050007,2,2025,448
7050007,2,2025,3951
7050007,2,2025,5521
7050007,2,2025,5247
7050007,2,2025,1814
7050007,2,2025,2545
7050007,2,2025,1540
7050007,2,2025,4015
7050007,2,2025,35448
7050007,2,2025,1200
7050007,2,2025,2924
7050007,2,2025,4354
7050007,2,2025,11381
7050007,2,2025,9150
7050007,2,2025,369
7050007,2,2025,4206
7050007,2,2025,1837
7050007,2,2025,21820
7050007,2,2025,5460
7050007,2,2025,6936
7050007,2,2025,15438
7050007,2,2025,22192
7050007,2,2025,13305
7050007,2,2025,2617
7050007,2,2025,6516
7050007,2,2025,19596
7050007,2,2025,4221
7050007,2,2025,44253
7050007,2,2025,1814
7050007,2,2025,11131
7050007,2,2025,7830
7050007,2,2025,16281
7050007,2,2025,1669
7050007,2,2025,605
7050007,2,2025,4213
7050007,2,2025,167
7050007,2,2025,334
7050007,2,2025,97
7050007,2,2025,7987
7050007,2,2025,320
7050007,2,2025,1234
7050007,2,2025,3952
7050007,2,2025,1480
7050007,2,2025,440
7050007,2,2025,1440
7050007,2,2025,8410
7050007,2,2025,3776
7050007,2,2025,2433
7050007,2,2025,1600
7050007,2,2025,2959
7050007,2,2025,3832
7050007,2,2025,1780
7050007,2,2025,8558
7050007,2,2025,5813
7050007,2,2025,2795
7050007,2,2025,970
7050007,2,2025,1330
7050007,2,2025,390
7050007,2,2025,1287
7050007,2,2025,783
7050007,2,2025,1324
7050007,2,2025,1310
7050007,2,2025,5562
7050007,2,2025,162
7050007,2,2025,419
7050007,2,2025,6282
7050007,2,2025,283
7050007,2,2025,7341
7050007,2,2025,3515
7050007,2,2025,400
7050007,2,2025,15
7050007,2,2025,1800
7050007,2,2025,90
7050007,2,2025,129
7050007,2,2025,3080
7050007,2,2025,1027
7050007,2,2025,1915
7050007,2,2025,800
7050007,2,2025,14079
7050007,2,2025,1713
7050007,2,2025,5326
7050007,2,2025,793
7050007,2,2025,1658
7050007,2,2025,1027
7050007,2,2025,57008
7050005,2,2025,-10
7050005,2,2025,-157
7050005,2,2025,-56
7050005,2,2025,-13
7050005,2,2025,-59
7050005,2,2025,-841
7050005,2,2025,-13
7050005,2,2025,-127
7050005,2,2025,-9
7050005,2,2025,-62
7050005,2,2025,-5
7050005,2,2025,-43
7050005,2,2025,-88
7050005,2,2025,-837
7050005,2,2025,-13
7050005,2,2025,-180
7050005,2,2025,-42
7050005,2,2025,-381
7050005,2,2025,-5
7050005,2,2025,-43
7050005,2,2025,-225
7050005,2,2025,-63
7050005,2,2025,-536
7050005,2,2025,-9
7050005,2,2025,-74
7050005,2,2025,-5
7050005,2,2025,-43
7050005,2,2025,-90
7050005,2,2025,-225
7050005,2,2025,-70
7050005,2,2025,-45
7050005,2,2025,-45
7050005,2,2025,-385
7050005,2,2025,-996
7050005,2,2025,-173
7050005,2,2025,-95
7050005,2,2025,-676
7050003,2,2025,-45
7050003,2,2025,-893
7050003,2,2025,-12
7050003,2,2025,-162
7050003,2,2025,-1838
7050003,2,2025,-8
7050003,2,2025,-57
7050003,2,2025,-60
7050003,2,2025,-45
7050003,2,2025,-79
7050003,2,2025,-462
7050003,2,2025,-15
7050003,2,2025,-23
7050003,2,2025,-225
7050003,2,2025,-27
7050003,2,2025,-4
7050003,2,2025,-4
7050003,2,2025,-1223
7050003,2,2025,-1080
7050003,2,2025,-15
7050003,2,2025,-87
7050003,2,2025,-72
7050003,2,2025,-124
7050003,2,2025,-132
7050003,2,2025,-12
7050003,2,2025,-79
7050003,2,2025,-1560
7050003,2,2025,-27
7050003,2,2025,-27
7050003,2,2025,-1028
7050003,2,2025,-124
7050003,2,2025,-338
7050003,2,2025,-177
7050003,2,2025,-489
7050003,2,2025,-13
7050003,2,2025,-498
7050003,2,2025,-819
7050003,2,2025,-16
7050003,2,2025,-13
7050003,2,2025,-47
7050003,2,2025,-44
7050003,2,2025,-31
7050003,2,2025,-59
7050003,2,2025,-78
7050003,2,2025,-4
7050003,2,2025,-1644
7050003,2,2025,-38
7050003,2,2025,-38
7050003,2,2025,-921
7050003,2,2025,-272
7050003,2,2025,-229
7050003,2,2025,-65
7050003,2,2025,-38
7050003,2,2025,-476
7050003,2,2025,-521
7050003,2,2025,-681
7050003,2,2025,-169
7050003,2,2025,-308
7050003,2,2025,-32
7050003,2,2025,-291
7050003,2,2025,-1442
